angle_deg,stage,d405_green_clearance_mm,camera_to_tcp_target_mm,blue_px,blue_cx,blue_cy,blue_touches_border,tray_px,tray_cx,tray_cy,tray_touches_border,left_finger_px,right_finger_px
26.0,pregrasp,10.759630899041992,72.52708009185538,29741,319.4113513331764,308.1353686829629,False,0,nan,nan,False,7121,7040
26.0,grasp,10.759630899041992,72.52708009224739,47330,319.5,367.6338474540461,True,0,nan,nan,False,1348,1348
26.0,preplace,10.759630899041992,72.52708009222887,0,nan,nan,False,109412,319.5,190.73171132965305,False,8546,8449
26.0,place,10.759630899041992,72.52708009223527,0,nan,nan,False,209972,319.5,215.84484597946394,True,2031,2031
27.0,high_align,10.351681070050505,71.94788183778068,18954,319.5,252.76638176638176,False,1695,628.9351032448377,376.8749262536873,True,9303,9217
27.0,pregrasp,10.351681070050505,71.9478818374054,29820,319.41837692823606,299.138195841717,False,0,nan,nan,False,7922,7849
27.0,grasp,10.351681070050505,71.94788183779735,47509,319.49811614641436,359.58635205960974,True,0,nan,nan,False,2231,2230
27.0,preplace,10.351681070050505,71.94788183777888,0,nan,nan,False,111778,319.5,179.5223031365743,False,9303,9217
27.0,place,10.351681070050505,71.94788183778533,0,nan,nan,False,214424,319.5,205.48534678953848,True,2836,2836
28.0,high_align,9.942971045654414,71.36864357308481,19124,319.5,244.08251411838526,False,1769,628.5850763143019,369.2651215375919,True,10097,10009
28.0,pregrasp,9.942971045654414,71.36864357270954,29805,319.4162388860929,290.50515014259355,False,0,nan,nan,False,8750,8675
28.0,grasp,9.942971045654414,71.36864357310154,47917,319.49439656071957,351.2579042928397,True,0,nan,nan,False,3064,3061
28.0,preplace,9.942971045654414,71.36864357308303,0,nan,nan,False,113760,319.5,168.94236990154712,False,10097,10009
28.0,place,9.942971045654414,71.36864357308949,0,nan,nan,False,218412,319.5,195.73123271615114,True,3666,3666
29.0,high_align,9.53353556785897,70.78954292306378,19214,319.5,235.83886749245343,False,1827,628.3163656267104,361.8045977011494,True,10913,10825
29.0,pregrasp,9.53353556785897,70.78954292268853,30051,319.42168313866426,281.82147016738213,False,0,nan,nan,False,9551,9474
29.0,grasp,9.53353556785897,70.78954292308055,48097,319.494417531239,343.0748279518473,True,0,nan,nan,False,3925,3922
29.0,preplace,9.53353556785897,70.78954292306203,0,nan,nan,False,116394,319.5,158.01366049796383,False,10913,10825
29.0,place,9.53353556785897,70.78954292306842,0,nan,nan,False,223656,319.5,184.91577243624138,True,4596,4596
30.0,high_align,9.123410090200366,70.21076187439462,19404,319.5,227.1480107194393,False,1883,628.0212426978226,354.4057355284121,True,11764,11677
30.0,pregrasp,9.123410090200366,70.2107618740193,30055,319.42611878223255,273.2001330893362,False,0,nan,nan,False,10440,10366
30.0,grasp,9.123410090200366,70.21076187441135,48186,319.48841987299215,333.9279666293114,True,0,nan,nan,False,4895,4889
30.0,preplace,9.123410090200366,70.21076187439283,0,nan,nan,False,118511,319.4993376142299,147.4529621722878,True,11764,11677
30.0,place,9.123410090200366,70.21076187439928,0,nan,nan,False,220554,319.5,180.9237012250968,True,5488,5486
31.0,high_align,8.712630931254536,69.63248689600296,19620,319.5,218.46636085626912,False,1929,627.7833074131674,347.08087091757386,True,12683,12602
31.0,pregrasp,8.712630931254536,69.6324868956276,30338,319.424583031182,264.4891555145362,False,0,nan,nan,False,11342,11273
31.0,grasp,8.712630931254536,69.63248689601969,48357,319.49444754637386,324.7785635998925,True,0,nan,nan,False,5853,5849
31.0,preplace,8.712630931254536,69.63248689600115,0,nan,nan,False,115381,319.4979069344173,143.88365502119066,True,12683,12602
31.0,place,8.712630931254536,69.63248689600762,0,nan,nan,False,216140,319.5,177.97856944572962,True,6445,6444
32.0,high_align,8.30123547493598,69.05490906086635,19744,319.5,210.20856969205835,False,1964,627.5728105906313,339.80957230142565,True,13726,13646
32.0,pregrasp,8.30123547493598,69.05490906049087,30525,319.42692874692875,255.4966420966421,False,0,nan,nan,False,12423,12356
32.0,grasp,8.30123547493598,69.05490906088308,48553,319.49446996066155,315.6115996951785,False,0,nan,nan,False,6935,6932
32.0,preplace,8.30123547493598,69.05490906086453,0,nan,nan,False,111967,319.4978431144891,140.05806175033715,True,13726,13646
32.0,place,8.30123547493598,69.05490906087101,0,nan,nan,False,211494,319.5,174.96731822179353,True,7525,7525
33.0,high_align,7.889262434828034,68.47822416877437,19972,319.5,201.490887242139,False,1987,627.4267740312029,332.58178158027175,True,14933,14852
33.0,pregrasp,7.889262434828034,68.47822416839882,30853,319.42790004213526,246.78883739020517,False,0,nan,nan,False,13616,13549
33.0,grasp,7.889262434828034,68.47822416879106,48613,319.49429165038157,306.79028243473965,False,0,nan,nan,False,8193,8190
33.0,preplace,7.889262434828034,68.47822416877257,0,nan,nan,False,108787,319.4963093016629,136.60195611608003,True,14933,14852
33.0,place,7.889262434828034,68.47822416877905,0,nan,nan,False,207004,319.5,172.02634731696006,True,8774,8773
34.0,high_align,7.476752207439013,67.90263286963649,20244,319.5,192.79243232562735,False,2006,627.2916251246261,325.4596211365902,True,16307,16231
34.0,pregrasp,7.476752207439013,67.90263286926086,31198,319.43082889928843,238.08253734213733,False,0,nan,nan,False,14972,14909
34.0,grasp,7.476752207439013,67.90263286965325,48873,319.4945061690504,297.6145315409326,False,0,nan,nan,False,9614,9612
34.0,preplace,7.476752207439013,67.90263286963473,0,nan,nan,False,105581,319.4961782896544,133.17795815534993,True,16307,16231
34.0,place,7.476752207439013,67.90263286964115,0,nan,nan,False,202240,319.5,168.72458465189874,True,10193,10194
35.0,high_align,7.063747350981567,67.32834078686973,20606,319.5,183.6258371348151,False,2016,627.1760912698413,318.3640873015873,True,17876,17799
35.0,pregrasp,7.063747350981567,67.32834078649401,31454,319.43142366630633,229.04679849939595,False,0,nan,nan,False,16579,16515
35.0,grasp,7.063747350981567,67.32834078688649,49168,319.49635942076145,288.43233403839895,False,0,nan,nan,False,11215,11213
35.0,preplace,7.063747350981567,67.32834078686798,0,nan,nan,False,102163,319.4944353630962,129.75389328817673,True,17876,17799
35.0,place,7.063747350981567,67.3283407868744,0,nan,nan,False,196800,319.5,164.66693089430893,True,11800,11800
36.0,high_align,6.650293244539941,66.75555864033147,20862,319.5,174.7270635605407,False,2013,627.1182314952807,311.26179831097863,True,19621,19549
36.0,pregrasp,6.650293244539941,66.75555863995562,31856,319.43709191361125,220.31595303867402,False,0,nan,nan,False,18304,18243
36.0,grasp,6.650293244539941,66.75555864034826,49665,319.49417094533374,278.87455954897814,False,0,nan,nan,False,12999,12996
36.0,preplace,6.650293244539941,66.75555864032972,0,nan,nan,False,98732,319.49174533079446,126.40638293562371,True,19621,19549
36.0,place,6.650293244539941,66.75555864033616,0,nan,nan,False,191444,319.5,160.49235285514303,True,13586,13584
